Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Zealthy,2019.0,Bangalore,Healthtech,"It connects women to healthproviders for specialities like infertility, maternity etc.,","Rishi Malhotra, Akhil Gupta","Kyt Ventures, First Cheque, Angellist",3000000.0,Seed Round,2020-01-01
Coindcx,2016.0,Gurgaon,Fintech,A cryptocurrency trading platform,Sumit Gupta,"Polychain Capital, Bain Capital Ventures, Hdr Group",3000000.0,Series A,2020-01-01
Nunu Tv,2016.0,New Delhi,Media,Kids-focussed Youtube channel,Sreevathsa Prabhakar,Risers Accelerators,670000.0,Pre series A,2020-01-01
Qtalk,2016.0,Bangalore,Technology,Smart Phone Dialer,"Sagar Modi, Advaith Vishwanath","Accel India, Lightspeed Venture Partners",1600000.0,Seed Round,2020-01-01
Shadez,2018.0,Mumbai,Interior & Decor,Paint Company,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,100000.0,Seed Round,2020-01-01
Excess2Sell,2016.0,Mumbai,Ecommerce,B2B Marketplace for Overstock & Surplus Inventory,Rajan Sharma,Gautham Madhavan,1000000.0,Series A,2020-01-01
Stanplus,2016.0,Hyderabad,Healthtech,Ambulance service,Prabhdeep Singh,Pegasus Fininvest,1500000.0,Pre series A,2020-01-01
Pitstop,2016.0,Bangalore,Automobile,Doorstep car service,Mihir Mohan Mishra,Tpg-Backed Group Landmark,2500000.0,Series A,2020-01-01
Univariety,2015.0,Hyderabad,Edtech,Online marketplace that provides career counselling and college guidance,Jaideep Gupta,Info Edge,1100000.0,Series B,2020-01-01
Peel Works,2010.0,Mumbai,Saas,E-commerce for corner/retail stores.,"Sachin Chhabra, Nidhi Ramachandran",Cesc Ventures,3000000.0,"Series C, D",2020-01-01
Corestack,2016.0,Chennai,Technology,Enterprise cloud governance technology startup,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar Nb",Naya Ventures,8500000.0,Series A,2020-01-01
Vivriti Capital,2017.0,Chennai,Fintech,Digital lending startup,"Gaurav Kumar, Vineet Sukumar",Lgt Lightstone Aspada,50000000.0,Series B,2020-01-01
Agnikul,2016.0,Chennai,Spacetech,"It designs, fabricates, tests and launch orbital class launch vehicles",Srinath Ravichandran,Pi Ventures,3148000.0,Pre series A,2020-01-01
Fintso,2020.0,Chennai,Fintech,Wealth management platform,"George Mitra, Rajan Pathak","Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta",2600000.0,Seed,2020-01-01
Khatabook,2016.0,Bangalore,Fintech,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,Mahendra Singh Dhoni,3000000.0,Series C,2020-01-01
Smart Coin,2015.0,Bangalore,Fintech,Consumer lending startup,"Amit Chandel, Rohit Garg, Vinay Kumar, Jayant Upadhyay",Lgt Lightstoneaspada,7000000.0,Series A,2020-01-01
Zunroof,2016.0,Gurugram,Cleantech,"It specialises in solar rooftop design, installation, and management using technology","Pranesh Chaudhary, Sushant Sachan",Godrej Investments,3000000.0,Series A,2020-01-01
Shop101,2015.0,Singapore,Social E-Commerce,Enables entrepreneurs to sell online,"Abhinav Jain, Aditya Gupta","Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital",3900000.0,Series C,2020-01-01
Om Bhakti,2016.0,Bangalore,Fmcg,A puja cotton-wicks manufacturing startup,"Sridhar Joshi, Prashant Kulkarni",Venture Catalysts,3000000.0,Seed Round,2020-01-01
Lal10,2016.0,Uttar Pradesh,B2B,It helps Indian artisans and SMEs reach out to global retailers,"Maneet Gohil, Sanchit Govil, Albin Jose",Sorenson Impact,1100000.0,Seed,2020-01-01
